OrderID,OrderDate,Customer,Region,Category,Product,SalesChannel,Quantity,UnitPrice,Discount,Revenue,Cost,Profit
1001,2025-11-24,Maritime College,West,Office Supplies,Printer Paper,Online,8,9.57,0,76.56,54.02,22.54
1002,2025-02-14,Maritime College,Atlantic,Safety,First Aid Kit,Online,3,23.89,0.15,60.92,41.94,18.98
1003,2025-04-12,Harbour Foods,Central,Safety,First Aid Kit,Retail,19,25.05,0,475.95,344.84,131.11
1004,2025-12-24,PineTech,West,Cleaning,Disinfectant,Online,7,24.66,0.05,163.99,94.05,69.94
1005,2025-02-19,PineTech,West,Furniture,Filing Cabinet,Online,24,183.89,0,4413.36,3415.13,998.23
1006,2025-02-10,Northstar Labs,West,Safety,Safety Glasses,Corporate,7,33.41,0,233.87,164.2,69.67
1007,2025-02-10,Oceanview Hotel,North,Technology,Monitor,Retail,15,108.77,0.05,1549.97,910.47,639.5
1008,2025-04-18,Maritime College,Central,Furniture,Office Chair,Corporate,24,156.85,0.1,3387.96,2159.06,1228.9
1009,2025-04-23,Bay Insurance,Central,Furniture,Office Chair,Online,11,176.55,0,1942.05,1162.37,779.68
1010,2026-03-25,Maritime College,North,Furniture,Desk,Retail,21,183.82,0.05,3667.21,2134.74,1532.47
1011,2025-10-03,Bluenose Retail,North,Furniture,Meeting Table,Retail,8,251.66,0,2013.28,1343.24,670.04
1012,2026-01-22,PineTech,Central,Office Supplies,Printer Paper,Corporate,6,15.05,0.1,81.27,55.85,25.42
1013,2025-07-15,Maritime College,West,Safety,First Aid Kit,Corporate,1,32.93,0,32.93,23.27,9.66
1014,2026-01-20,Northstar Labs,Atlantic,Furniture,Filing Cabinet,Retail,14,145.93,0,2043.02,1571.85,471.17
1015,2025-09-14,Harbour Foods,West,Technology,Monitor,Corporate,17,107.0,0,1819.0,1156.88,662.12
1016,2025-10-04,Northstar Labs,West,Safety,Gloves,Retail,1,21.79,0.05,20.7,15.57,5.13
1017,2025-05-03,Maritime College,Atlantic,Office Supplies,Pens,Online,24,12.48,0,299.52,232.11,67.41
1018,2026-01-28,Maple Logistics,North,Technology,Keyboard,Corporate,6,84.13,0.15,429.06,277.74,151.32
1019,2025-10-04,Maple Logistics,North,Technology,Router,Corporate,21,91.33,0.15,1630.24,1065.92,564.32
1020,2025-04-26,Acadia Health,Atlantic,Office Supplies,Binders,Corporate,18,10.33,0,185.94,102.57,83.37
1021,2025-04-28,Harbour Foods,West,Office Supplies,Printer Paper,Online,17,10.4,0.1,159.12,95.36,63.76
1022,2026-01-06,Oceanview Hotel,Central,Safety,First Aid Kit,Retail,14,23.33,0,326.62,229.15,97.47
1023,2025-08-05,Oceanview Hotel,Atlantic,Cleaning,Trash Bags,Corporate,21,25.0,0,525.0,296.07,228.93
1024,2026-02-14,Citadel Services,Central,Office Supplies,Pens,Online,18,12.17,0.1,197.15,116.75,80.4
1025,2025-05-08,Maple Logistics,Atlantic,Office Supplies,Notebooks,Online,21,16.79,0,352.59,272.51,80.08
1026,2025-03-27,PineTech,North,Cleaning,Trash Bags,Online,13,23.97,0,311.61,198.55,113.06
1027,2025-05-16,Citadel Services,North,Cleaning,Disinfectant,Corporate,24,25.14,0.15,512.86,360.15,152.71
1028,2025-03-21,Acadia Health,Central,Technology,Router,Online,19,115.43,0,2193.17,1583.54,609.63
1029,2025-01-26,Bluenose Retail,Central,Safety,First Aid Kit,Online,17,21.17,0,359.89,203.61,156.28
1030,2025-12-12,PineTech,Atlantic,Technology,Laptop Stand,Corporate,8,105.0,0,840.0,581.66,258.34
1031,2025-12-03,Harbour Foods,West,Safety,Safety Glasses,Online,22,33.64,0,740.08,452.26,287.82
1032,2025-12-10,Bluenose Retail,West,Furniture,Meeting Table,Online,1,183.74,0.15,156.18,121.68,34.5
1033,2025-10-03,Citadel Services,Central,Technology,Router,Retail,3,124.97,0.05,356.16,219.23,136.93
1034,2026-03-03,Harbour Foods,Atlantic,Safety,Safety Glasses,Corporate,18,25.47,0,458.46,351.16,107.3
1035,2025-05-16,Northstar Labs,Central,Office Supplies,Printer Paper,Retail,10,13.48,0.05,128.06,76.43,51.63
1036,2025-09-16,Oceanview Hotel,Atlantic,Cleaning,Disinfectant,Online,21,17.94,0.05,357.9,200.47,157.43
1037,2026-01-30,Bluenose Retail,Central,Technology,Router,Corporate,15,103.19,0.1,1393.07,945.91,447.16
1038,2025-02-08,Oceanview Hotel,West,Technology,Monitor,Corporate,18,76.35,0,1374.3,769.09,605.21
1039,2026-02-12,PineTech,Central,Office Supplies,Binders,Corporate,8,14.0,0.05,106.4,77.61,28.79
1040,2025-11-14,PineTech,Central,Technology,Keyboard,Online,14,68.15,0.05,906.4,661.63,244.77
1041,2026-02-15,Maple Logistics,Central,Technology,Router,Corporate,4,91.94,0,367.76,274.89,92.87
1042,2025-04-13,Northstar Labs,West,Cleaning,Disinfectant,Online,8,12.9,0,103.2,66.22,36.98
1043,2026-03-19,Acadia Health,West,Office Supplies,Binders,Corporate,17,11.76,0.15,169.93,106.4,63.53
1044,2025-03-01,Oceanview Hotel,West,Furniture,Desk,Online,4,201.17,0.05,764.45,548.54,215.91
1045,2025-08-12,Maritime College,North,Safety,Gloves,Corporate,7,24.59,0.1,154.92,85.27,69.65
1046,2025-12-18,Bluenose Retail,North,Technology,Router,Online,22,127.73,0.15,2388.55,1486.16,902.39
1047,2026-01-04,PineTech,North,Furniture,Filing Cabinet,Retail,13,213.85,0.15,2363.04,1368.85,994.19
1048,2025-12-07,PineTech,West,Cleaning,Paper Towels,Retail,18,23.1,0.05,395.01,243.32,151.69
1049,2026-02-07,Harbour Foods,North,Safety,Safety Glasses,Retail,15,32.84,0.15,418.71,275.86,142.85
1050,2025-12-04,Maple Logistics,West,Office Supplies,Binders,Online,25,10.37,0.05,246.29,148.18,98.11
1051,2025-03-17,Bay Insurance,Central,Office Supplies,Printer Paper,Retail,20,15.54,0,310.8,203.49,107.31
1052,2025-04-10,Bluenose Retail,North,Cleaning,Trash Bags,Online,5,20.87,0,104.35,78.82,25.53
1053,2026-02-03,Bluenose Retail,Central,Cleaning,Paper Towels,Corporate,17,18.45,0.15,266.6,161.91,104.69
1054,2025-08-22,Maritime College,West,Technology,Laptop Stand,Retail,20,120.7,0.15,2051.9,1329.94,721.96
1055,2025-08-17,Maritime College,North,Technology,Laptop Stand,Retail,25,82.94,0.05,1969.82,1430.36,539.46
1056,2025-09-06,Maritime College,North,Technology,Router,Online,23,85.5,0.05,1868.17,1171.8,696.37
1057,2025-02-11,PineTech,Central,Technology,Keyboard,Retail,23,76.66,0,1763.18,995.8,767.38
1058,2025-06-19,Bay Insurance,North,Safety,First Aid Kit,Online,7,35.92,0.1,226.3,171.56,54.74
1059,2025-12-23,PineTech,North,Office Supplies,Notebooks,Online,12,10.91,0.1,117.83,87.94,29.89
1060,2025-10-03,PineTech,North,Safety,Masks,Online,9,28.14,0,253.26,161.94,91.32
1061,2026-01-06,Acadia Health,Central,Technology,Laptop Stand,Corporate,18,68.29,0.1,1106.3,759.07,347.23
1062,2025-02-12,Oceanview Hotel,North,Cleaning,Paper Towels,Online,2,15.88,0.05,30.17,18.06,12.11
1063,2025-06-22,Oceanview Hotel,North,Cleaning,Disinfectant,Retail,3,18.53,0.15,47.25,26.55,20.7
1064,2025-04-25,Harbour Foods,Atlantic,Office Supplies,Printer Paper,Online,7,15.45,0.15,91.93,53.78,38.15
1065,2025-08-31,Bluenose Retail,North,Office Supplies,Pens,Corporate,9,14.84,0,133.56,92.07,41.49
1066,2026-02-03,PineTech,Atlantic,Technology,Router,Corporate,1,128.27,0.15,109.03,76.95,32.08
